rank_a,rank_b,feature_a,feature_b,sign_a,sign_b,single_a_margin,single_b_margin,critical12_margin,additive_prediction,pair_margin,interaction,passes,condition,description_a,description_b,url_a,url_b
3,4,13060,6169,recipient_higher,donor_higher,0.0,-0.03125,0.0,-0.03125,-0.03125,0.0,False,bundle_patch_critical12_plus_rank003_rank004,references to notable relationships or marriages,"references to medical conditions and treatments, particularly relating to pregnancy",https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13060,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/6169
3,5,13060,13882,recipient_higher,recipient_higher,0.0,0.0,0.0,0.0,0.0,0.0,False,bundle_patch_critical12_plus_rank003_rank005,references to notable relationships or marriages,numeric values and their contextual references in various documents,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13060,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13882
3,6,13060,9407,recipient_higher,recipient_higher,0.0,-0.015625,0.0,-0.015625,0.0,0.015625,False,bundle_patch_critical12_plus_rank003_rank006,references to notable relationships or marriages,phrases related to self-reflection and personal growth,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13060,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/9407
3,8,13060,5355,recipient_higher,recipient_higher,0.0,0.0,0.0,0.0,0.0,0.0,False,bundle_patch_critical12_plus_rank003_rank008,references to notable relationships or marriages,references to automotive manufacturing and production specifics,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13060,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/5355
3,10,13060,8754,recipient_higher,donor_higher,0.0,-0.015625,0.0,-0.015625,0.0,0.015625,False,bundle_patch_critical12_plus_rank003_rank010,references to notable relationships or marriages,"information about specific individuals, particularly athletes and their backgrounds",https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13060,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/8754
3,11,13060,3850,recipient_higher,donor_higher,0.0,0.0,0.0,0.0,0.0,0.0,False,bundle_patch_critical12_plus_rank003_rank011,references to notable relationships or marriages,instances of textual analysis and commentary about people and groups in political or social contexts,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13060,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/3850
3,12,13060,13854,recipient_higher,donor_higher,0.0,0.0,0.0,0.0,0.0,0.0,False,bundle_patch_critical12_plus_rank003_rank012,references to notable relationships or marriages,phrases emphasizing caution and the need for careful interpretation in medical research,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13060,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13854
3,13,13060,7965,recipient_higher,donor_higher,0.0,0.0,0.0,0.0,-0.015625,-0.015625,False,bundle_patch_critical12_plus_rank003_rank013,references to notable relationships or marriages,programming structures and function definitions,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13060,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/7965
3,15,13060,11414,recipient_higher,recipient_higher,0.0,-0.015625,0.0,-0.015625,0.0,0.015625,False,bundle_patch_critical12_plus_rank003_rank015,references to notable relationships or marriages,phrases that indicate opinions or assertions about the subject matter,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13060,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/11414
3,17,13060,12002,recipient_higher,donor_higher,0.0,-0.015625,0.0,-0.015625,0.0,0.015625,False,bundle_patch_critical12_plus_rank003_rank017,references to notable relationships or marriages,financial terms and values associated with stock performance,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13060,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/12002
3,18,13060,9001,recipient_higher,donor_higher,0.0,0.0,0.0,0.0,0.0,0.0,False,bundle_patch_critical12_plus_rank003_rank018,references to notable relationships or marriages,specific characters and their representations in names and titles,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/13060,https://www.neuronpedia.org/gemma-2-2b/20-gemmascope-mlp-16k/9001
